ctag	en	en_female
CMATCHTEXT_PENALTYSHOOTOUT_GOAL4	<!crowdgoal>Goal! Drilled home!	<!crowdgoal>Goal! Drilled home!
CMATCHTEXT_PENALTYSHOOTOUT_GOAL5	<!crowdgoal>Goal! Put away nicely!	<!crowdgoal>Goal! Put away nicely!
CMATCHTEXT_PENALTYSHOOTOUT_GOAL6	<!crowdgoal>Goal! He fires it in!	<!crowdgoal>Goal! He fires it in!
CMATCHTEXT_PENALTYSHOOTOUT_GOAL7	<!crowdgoal>Goal! The keeper had no chance!	<!crowdgoal>Goal! The keeper had no chance!
CMATCHTEXT_PENALTYMISS_BALLSTOP1	<!crowdoh>Missed! He didn't kick that with enough power!	<!crowdoh>Missed! He didn't kick that with enough power!
CMATCHTEXT_PENALTYMISS_BALLSTOP2	<!crowdoh>Missed! He made a mess of that!	<!crowdoh>Missed! He made a mess of that!
CMATCHTEXT_PENALTYMISS_BALLSTOP3	<!crowdoh>Missed! Nerves got the better of him!	<!crowdoh>Missed! Nerves got the better of him!
CMATCHTEXT_PENALTYMISS_BALLSTOP4	<!crowdoh>Missed! That was a terrible penalty!	<!crowdoh>Missed! That was a terrible penalty!
CMATCHTEXT_PENALTYMISS_KEEPER1	<!parry><!crowdoh>Saved! The keeper guessed right!	<!parry><!crowdoh>Saved! The keeper guessed right!
CMATCHTEXT_PENALTYMISS_KEEPER2	<!parry><!crowdoh>A fantastic save by the keeper!	<!parry><!crowdoh>A fantastic save by the keeper!
CMATCHTEXT_PENALTYMISS_KEEPER3	<!parry><!crowdoh>Saved by the keeper!	<!parry><!crowdoh>Saved by the keeper!
CMATCHTEXT_PENALTYMISS_KEEPER4	<!parry><!crowdoh>Pushed away by the keeper!	<!parry><!crowdoh>Pushed away by the keeper!
CMATCHTEXT_PENALTYMISS_KEEPER5	<!parry><!crowdoh>The keeper saves it!	<!parry><!crowdoh>The keeper saves it!
CMATCHTEXT_PENALTYMISS_KEEPER6	<!parry><!crowdoh>Saved! The keeper went the right way!	<!parry><!crowdoh>Saved! The keeper went the right way!
CMATCHTEXT_PENALTYMISS_KEEPER7	<!parry><!crowdoh>Saved by the keeper!	<!parry><!crowdoh>Saved by the keeper!
CMATCHTEXT_PENALTYMISS1	<!crowdoh>Missed! Blazed over the bar!	<!crowdoh>Missed! Blazed over the bar!
CMATCHTEXT_PENALTYMISS2	<!crowdoh>Missed! He shoots wide!	<!crowdoh>Missed! He shoots wide!
CMATCHTEXT_PENALTYMISS3	<!parry><!crowdoh>Saved! The keeper guessed right!	<!parry><!crowdoh>Saved! The keeper guessed right!
CMATCHTEXT_PENALTYMISS4	<!parry><!crowdoh>Saved! Fantastic save from the keeper	<!parry><!crowdoh>Saved! Fantastic save from the keeper
CMATCHTEXT_PENALTYMISS5	<!parry><!crowdoh>Saved! The keeper pushes it away!	<!parry><!crowdoh>Saved! The keeper pushes it away!
CMATCHTEXT_PENALTYSTEPUP_STAY1	$attackingteamname have to score this to stay in	$attackingteamname have to score this to stay in
CMATCHTEXT_PENALTYSTEPUP_WIN1	If $attackingteamname score this they've won	If $attackingteamname score this they've won
CMATCHTEXT_PENALTYSTEPUP1	$attackingteamname penalty	$attackingteamname penalty
CMATCHTEXT_PENRESULT1	<!crowdgoal>$teamname win the penalty shoot-out!	<!crowdgoal>$teamname win the penalty shoot-out!
CMATCHTEXT_PENRESULT2	<!crowdgoal>$teamname have done it!|They have won the penalty shoot-out!	<!crowdgoal>$teamname have done it!|They have won the penalty shoot-out!
CMATCHTEXT_PLAYERDISLIKE1	<assistant><DISLIKE><col_d>That's a misunderstanding between $playername and $playername2	<assistant><DISLIKE><col_d>That's a misunderstanding between $playername and $playername2
CMATCHTEXT_PLAYERDISLIKE2	<assistant><DISLIKE><col_d>$playername should have played the ball to $playername2 but gives it away	<assistant><DISLIKE><col_d>$playername should have played the ball to $playername2 but gives it away
CMATCHTEXT_PLAYERDISLIKE3	<assistant><DISLIKE><col_d>$playername failed to anticipate the pass from $playername2	<assistant><DISLIKE><col_d>$playername failed to anticipate the pass from $playername2
CMATCHTEXT_PLAYERDISLIKE4	<assistant><DISLIKE><col_d>$playername and $playername2 are on different wavelengths|They've given the ball to the opposition...	<assistant><DISLIKE><col_d>$playername and $playername2 are on different wavelengths|They've given the ball to the opposition...
CMATCHTEXT_PLAYERDISLIKE5	<assistant><DISLIKE><col_d>$playername2 wasn't expecting the pass from $playername	<assistant><DISLIKE><col_d>$playername2 wasn't expecting the pass from $playername
CMATCHTEXT_PLAYERDISLIKE6	<assistant><DISLIKE><col_d>$playername2 didn't read the pass from $playername	<assistant><DISLIKE><col_d>$playername2 didn't read the pass from $playername
CMATCHTEXT_PLAYERDISLIKE7	<assistant><DISLIKE><col_d>A misunderstanding between $playername2 and $playername has gifted the ball to $attackingteamname	<assistant><DISLIKE><col_d>A misunderstanding between $playername2 and $playername has gifted the ball to $attackingteamname
CMATCHTEXT_PLAYERDISLIKE8	<assistant><DISLIKE><col_d>That's poor communication between $playername and $playername2|They've given it straight to the opposition...	<assistant><DISLIKE><col_d>That's poor communication between $playername and $playername2|They've given it straight to the opposition...
CMATCHTEXT_PLAYERTIRED1	<col_d><TIRED>$playername gets beaten for to the ball	<col_d><TIRED>$playername gets beaten for to the ball
CMATCHTEXT_PLAYERTIRED10	<col_d><TIRED>$playername can't keep up with play	<col_d><TIRED>$playername can't keep up with play
CMATCHTEXT_PLAYERTIRED11	<col_d><TIRED>$playername can't keep up with his man	<col_d><TIRED>$playername can't keep up with his man
CMATCHTEXT_PLAYERTIRED12	<col_d><TIRED>$playername lets play pass him by|His legs have gone	<col_d><TIRED>$playername lets play pass him by|His legs have gone
CMATCHTEXT_PLAYERTIRED13	<col_d><TIRED>$playername is unable to chase down the ball	<col_d><TIRED>$playername is unable to chase down the ball
CMATCHTEXT_PLAYERTIRED14	<col_d><TIRED>$playername is unable to chase his opponent	<col_d><TIRED>$playername is unable to chase his opponent
CMATCHTEXT_PLAYERTIRED15	<col_d><TIRED>$playername looks tired|He gives the ball away	<col_d><TIRED>$playername looks tired|He gives the ball away
CMATCHTEXT_PLAYERTIRED16	<col_d><TIRED>That's a tired pass from $playername	<col_d><TIRED>That's a tired pass from $playername
CMATCHTEXT_PLAYERTIRED17	<col_d><TIRED>A tired looking $playername gets muscled off the ball	<col_d><TIRED>A tired looking $playername gets muscled off the ball
CMATCHTEXT_PLAYERTIRED18	<col_d><TIRED>$playername lets his man get away from him	<col_d><TIRED>$playername lets his man get away from him
CMATCHTEXT_PLAYERTIRED19	<col_a><TIRED>$attackingteamname take the ball from $playername	<col_a><TIRED>$attackingteamname take the ball from $playername
CMATCHTEXT_PLAYERTIRED2	<col_d><TIRED>$playername gets muscled off the ball	<col_d><TIRED>$playername gets muscled off the ball
CMATCHTEXT_PLAYERTIRED20	<col_d>$playername is struggling to keep up	<col_d>$playername is struggling to keep up
CMATCHTEXT_PLAYERTIRED3	<col_d><TIRED>$playername can't get to the ball in time	<col_d><TIRED>$playername can't get to the ball in time
CMATCHTEXT_PLAYERTIRED4	<col_d><TIRED>$playername looks weary out there	<col_d><TIRED>$playername looks weary out there
CMATCHTEXT_PLAYERTIRED5	<col_d><TIRED>That's a mistake from a tired $playername	<col_d><TIRED>That's a mistake from a tired $playername
CMATCHTEXT_PLAYERTIRED6	<col_d><TIRED>$playername fails to chase the ball|He looks tired	<col_d><TIRED>$playername fails to chase the ball|He looks tired
CMATCHTEXT_PLAYERTIRED7	<col_d><TIRED>$playername gets bundled over all too easily	<col_d><TIRED>$playername gets bundled over all too easily
CMATCHTEXT_PLAYERTIRED8	<col_d><TIRED>$playername puts in a weak challenge	<col_d><TIRED>$playername puts in a weak challenge
CMATCHTEXT_PLAYERTIRED9	<col_a><TIRED>$attackingteamname dispossess a tired $playername	<col_a><TIRED>$attackingteamname dispossess a tired $playername
CMATCHTEXT_PLAYERUNHAPPY1	<assistant><col_d><UNHAPPY>$playername looks out of sorts today	<assistant><col_d><UNHAPPY>$playername looks out of sorts today
CMATCHTEXT_PLAYERUNHAPPY10	<assistant><col_a><UNHAPPY>$attackingteamname intercept a pass by $playername	<assistant><col_a><UNHAPPY>$attackingteamname intercept a pass by $playername
CMATCHTEXT_PLAYERUNHAPPY11	<assistant><col_d><UNHAPPY>$playername gets dispossessed	<assistant><col_d><UNHAPPY>$playername gets dispossessed
CMATCHTEXT_PLAYERUNHAPPY12	<assistant><col_a><UNHAPPY>$attackingteamname take the ball from $playername with ease	<assistant><col_a><UNHAPPY>$attackingteamname take the ball from $playername with ease
CMATCHTEXT_PLAYERUNHAPPY13	<assistant><col_d><UNHAPPY>$playername refuses to chase down his opponent	<assistant><col_d><UNHAPPY>$playername refuses to chase down his opponent
CMATCHTEXT_PLAYERUNHAPPY14	<assistant><col_a><UNHAPPY>$attackingteamname steal the ball from $playername	<assistant><col_a><UNHAPPY>$attackingteamname steal the ball from $playername
CMATCHTEXT_PLAYERUNHAPPY15	<assistant><col_a><UNHAPPY>$attackingteamname are on the attack|<col_d>$playername gave up the ball too easily	<assistant><col_a><UNHAPPY>$attackingteamname are on the attack|<col_d>$playername gave up the ball too easily
CMATCHTEXT_PLAYERUNHAPPY2	<assistant><col_d><UNHAPPY>$playername gives the ball away	<assistant><col_d><UNHAPPY>$playername gives the ball away
CMATCHTEXT_PLAYERUNHAPPY3	<assistant><col_d><UNHAPPY>$playername fails to track his man	<assistant><col_d><UNHAPPY>$playername fails to track his man
CMATCHTEXT_PLAYERUNHAPPY4	<assistant><col_d><UNHAPPY>$playername isn't working for the team	<assistant><col_d><UNHAPPY>$playername isn't working for the team
CMATCHTEXT_PLAYERUNHAPPY5	<assistant><col_d><UNHAPPY>$playername lets play pass him by	<assistant><col_d><UNHAPPY>$playername lets play pass him by
CMATCHTEXT_PLAYERUNHAPPY6	<assistant><col_d><UNHAPPY>$playername is off the pace today	<assistant><col_d><UNHAPPY>$playername is off the pace today
CMATCHTEXT_PLAYERUNHAPPY7	<assistant><col_d><UNHAPPY>$playername can't get control of the ball	<assistant><col_d><UNHAPPY>$playername can't get control of the ball
CMATCHTEXT_PLAYERUNHAPPY8	<assistant><col_d><UNHAPPY>That's a poor pass from $playername	<assistant><col_d><UNHAPPY>That's a poor pass from $playername
CMATCHTEXT_PLAYERUNHAPPY9	<assistant><col_d><UNHAPPY>$playername looks disinterested	<assistant><col_d><UNHAPPY>$playername looks disinterested
CMATCHTEXT_SAVE_AGILITY1	<col_d><!parry><!crowdoh><AGI>But that's a great diving save by $defendingkeepername	<col_d><!parry><!crowdoh><AGI>But that's a great diving save by $defendingkeepername
CMATCHTEXT_SAVE_AGILITY2	<col_d><!parry><!crowdoh><AGI>But it's pushed away by $defendingkeepername	<col_d><!parry><!crowdoh><AGI>But it's pushed away by $defendingkeepername
CMATCHTEXT_SAVE_AGILITY3	<col_d><!parry><!crowdoh><AGI>But it's parried away by $defendingkeepername	<col_d><!parry><!crowdoh><AGI>But it's parried away by $defendingkeepername
CMATCHTEXT_SAVE_AGILITY4	<col_d><!parry><!crowdoh><AGI>But $defendingkeepername dives left and palms it away	<col_d><!parry><!crowdoh><AGI>But $defendingkeepername dives left and palms it away
CMATCHTEXT_SAVE_AGILITY5	<col_d><!parry><!crowdoh><AGI>But $defendingkeepername dives right and pushes it away	<col_d><!parry><!crowdoh><AGI>But $defendingkeepername dives right and pushes it away
CMATCHTEXT_SAVE_AGILITY6	<col_d><!parry><!crowdoh><AGI>But $defendingkeepername shows his agility to palm it away	<col_d><!parry><!crowdoh><AGI>But $defendingkeepername shows his agility to palm it away
CMATCHTEXT_SAVE_AGILITY7	<col_d><!parry><!crowdoh><AGI>But $defendingkeepername dives across his goal and saves it	<col_d><!parry><!crowdoh><AGI>But $defendingkeepername dives across his goal and saves it
CMATCHTEXT_SAVE_AGILITY8	<col_d><!parry><!crowdoh><AGI>But $defendingkeepername makes a diving save	<col_d><!parry><!crowdoh><AGI>But $defendingkeepername makes a diving save
CMATCHTEXT_SAVE_HANDLING1	<col_d><!parry><!crowdoh><HND>But $defendingkeepername smothers it	<col_d><!parry><!crowdoh><HND>But $defendingkeepername smothers it
CMATCHTEXT_SAVE_HANDLING2	<col_d><!parry><!crowdoh><HND>But $defendingkeepername catches it	<col_d><!parry><!crowdoh><HND>But $defendingkeepername catches it
CMATCHTEXT_SAVE_HANDLING3	<col_d><!parry><!crowdoh><HND>Saved by $defendingkeepername. Well held.	<col_d><!parry><!crowdoh><HND>Saved by $defendingkeepername. Well held.
CMATCHTEXT_SAVE_HANDLING4	<col_d><!parry><!crowdoh><HND>But $defendingkeepername holds it well	<col_d><!parry><!crowdoh><HND>But $defendingkeepername holds it well
CMATCHTEXT_SAVE_HANDLING5	<col_d><!parry><!crowdoh><HND>Ooh! A great save by $defendingkeepername	<col_d><!parry><!crowdoh><HND>Ooh! A great save by $defendingkeepername
CMATCHTEXT_SAVE_HANDLING6	<col_d><!parry><!crowdoh><HND>But $defendingkeepername shows safe hands there	<col_d><!parry><!crowdoh><HND>But $defendingkeepername shows safe hands there
CMATCHTEXT_SAVE_HANDLING7	<col_d><!parry><!crowdoh><HND>But $defendingkeepername gets both hands on the ball	<col_d><!parry><!crowdoh><HND>But $defendingkeepername gets both hands on the ball
CMATCHTEXT_SAVE_PACE1	<col_d><!parry><!crowdoh><PAC>But $defendingkeepername rushes out quickly to intercept	<col_d><!parry><!crowdoh><PAC>But $defendingkeepername rushes out quickly to intercept
CMATCHTEXT_SAVE_PACE2	<col_d><!parry><!crowdoh><PAC>But $defendingkeepername is quickly off his line and gets the ball	<col_d><!parry><!crowdoh><PAC>But $defendingkeepername is quickly off his line and gets the ball
CMATCHTEXT_SAVE_PACE3	<col_d><!parry><!crowdoh><PAC>But $defendingkeepername gets there first	<col_d><!parry><!crowdoh><PAC>But $defendingkeepername gets there first
CMATCHTEXT_SAVE_PACE4	<col_d><!parry><!crowdoh><PAC>But the keeper $defendingkeepername closes down the angle quickly	<col_d><!parry><!crowdoh><PAC>But the keeper $defendingkeepername closes down the angle quickly
CMATCHTEXT_SAVE_PACE5	<col_d><!parry><!crowdoh><PAC>But $defendingkeepername was off his line quickly and smothers the ball	<col_d><!parry><!crowdoh><PAC>But $defendingkeepername was off his line quickly and smothers the ball
CMATCHTEXT_SAVE_REFLEXES1	<col_d><!parry><!crowdoh><RFL>But that's a great reflex save from $defendingkeepername	<col_d><!parry><!crowdoh><RFL>But that's a great reflex save from $defendingkeepername
CMATCHTEXT_SAVE_REFLEXES2	<col_d><!parry><!crowdoh><RFL>A good reaction save by $defendingkeepername	<col_d><!parry><!crowdoh><RFL>A good reaction save by $defendingkeepername
CMATCHTEXT_SAVE_REFLEXES3	<col_d><!parry><!crowdoh><RFL>But it's parried away by $defendingkeepername	<col_d><!parry><!crowdoh><RFL>But it's parried away by $defendingkeepername
CMATCHTEXT_SAVE_REFLEXES4	<col_d><!parry><!crowdoh><RFL>Ooh! A great reaction save by $defendingkeepername	<col_d><!parry><!crowdoh><RFL>Ooh! A great reaction save by $defendingkeepername
CMATCHTEXT_SAVE_REFLEXES5	<col_d><!parry><!crowdoh><RFL>$defendingkeepername shows good reactions and pushes it away	<col_d><!parry><!crowdoh><RFL>$defendingkeepername shows good reactions and pushes it away
CMATCHTEXT_SAVE_REFLEXES6	<col_d><!parry><!crowdoh><RFL>But $defendingkeepername makes a reflex save	<col_d><!parry><!crowdoh><RFL>But $defendingkeepername makes a reflex save
CMATCHTEXT_SAVE_REFLEXES7	<col_d><!parry><!crowdoh><RFL>$defendingkeepername reacts quickly to palm it away	<col_d><!parry><!crowdoh><RFL>$defendingkeepername reacts quickly to palm it away
CMATCHTEXT_SECONDYELLOW1	<col_d>That's a second yellow for $playername|He's off!	<col_d>That's a second yellow for $playername|He's off!
CMATCHTEXT_SECONDYELLOW2	<col_d>This doesn't look good for $playername|It's a second yellow card!	<col_d>This doesn't look good for $playername|It's a second yellow card!
CMATCHTEXT_SECONDYELLOW3	<col_d>$playername is in trouble here|Second yellow and he's off!	<col_d>$playername is in trouble here|Second yellow and he's off!
CMATCHTEXT_SECONDYELLOW4	<col_d>$playername has picked up another yellow card|He has to go!	<col_d>$playername has picked up another yellow card|He has to go!
CMATCHTEXT_SECONDYELLOW5	<col_d>$playername is heading for the tunnel|It's a second yellow!	<col_d>$playername is heading for the tunnel|It's a second yellow!
CMATCHTEXT_SHOOT1	$attackingteamname have a chance to score...	$attackingteamname have a chance to score...
CMATCHTEXT_SHOOT10	$attackingteamname break forward in numbers...	$attackingteamname break forward in numbers...
CMATCHTEXT_SHOOT11	It's a chance for $attackingteamname...	It's a chance for $attackingteamname...
CMATCHTEXT_SHOOT12	$attackingteamname look threatening...	$attackingteamname look threatening...
CMATCHTEXT_SHOOT13	<!kickshort>Here come $attackingteamname...	<!kickshort>Here come $attackingteamname...
CMATCHTEXT_SHOOT14	$attackingteamname look dangerous here...	$attackingteamname look dangerous here...
CMATCHTEXT_SHOOT15	A chance opens up for $attackingteamname...	A chance opens up for $attackingteamname...
CMATCHTEXT_SHOOT2	$attackingteamname are in on goal...	$attackingteamname are in on goal...
CMATCHTEXT_SHOOT3	<!kicklong>$attackingteamname knock the ball forwards...	<!kicklong>$attackingteamname knock the ball forwards...
CMATCHTEXT_SHOOT4	$attackingteamname have a great chance...	$attackingteamname have a great chance...
CMATCHTEXT_SHOOT5	<!kicklong>$attackingteamname put it into the box...	<!kicklong>$attackingteamname put it into the box...
CMATCHTEXT_SHOOT6	$attackingteamname push forward...	$attackingteamname push forward...
CMATCHTEXT_SHOOT7	<!kicklong>A cross comes in from $attackingteamname...	<!kicklong>A cross comes in from $attackingteamname...
CMATCHTEXT_SHOOT8	<!kickshort>That's nice football from $attackingteamname...	<!kickshort>That's nice football from $attackingteamname...
CMATCHTEXT_SHOOT9	<!kickshort>$attackingteamname are moving the ball nicely...	<!kickshort>$attackingteamname are moving the ball nicely...
CMATCHTEXT_STRAIGHTRED1	<col_d>$playername is sent off for violent misconduct!	<col_d>$playername is sent off for violent misconduct!
CMATCHTEXT_STRAIGHTRED2	<col_d>It's a straight red card for $playername!	<col_d>It's a straight red card for $playername!
CMATCHTEXT_STRAIGHTRED3	<col_d>$playername is off!|A straight red card!	<col_d>$playername is off!|A straight red card!
CMATCHTEXT_STRAIGHTRED4	<col_d>Red card!|$playername is sent off!	<col_d>Red card!|$playername is sent off!
CMATCHTEXT_STRAIGHTRED5	<col_d>$playername is protesting but it's a red card!	<col_d>$playername is protesting but it's a red card!
CMATCHTEXT_SUBMADE1	Substitution made by $teamname	Substitution made by $teamname
CMATCHTEXT_SUBMADE2	Here comes the substitution for $teamname	Here comes the substitution for $teamname
CMATCHTEXT_SUBMADE3	$teamname are bringing on a sub	$teamname are bringing on a sub
CMATCHTEXT_SUBSMADE1	Substitutions made by $teamname	Substitutions made by $teamname
CMATCHTEXT_SUBSMADE2	$teamname are bringing on some fresh legs	$teamname are bringing on some fresh legs
CMATCHTEXT_SUBSMADE3	$teamname are making some changes	$teamname are making some changes
CMATCHTEXT_THEATTACKER	The attacker	The attacker
CMATCHTEXT_THEDEFENDER	The defender	The defender
CMATCHTEXT_THEFORWARD	The forward	The forward
CMATCHTEXT_THEKEEPER	The keeper	The keeper
CMATCHTEXT_THEMIDFIELDER	The midfielder	The midfielder
CMATCHTEXT_THESTRIKER	The striker	The striker
CMATCHTEXT_TRAITBOXTOBOX1	<+TRAIT>$playername has made a lung-bursting run upfield|He receives the ball...	<+TRAIT>$playername has made a lung-bursting run upfield|He receives the ball...
CMATCHTEXT_TRAITBOXTOBOX2	<+TRAIT>$playername is supporting the attack|The ball falls to him...	<+TRAIT>$playername is supporting the attack|The ball falls to him...
CMATCHTEXT_TRAITBOXTOBOX3	<+TRAIT>$playername receives the ball in a dangerous position	<+TRAIT>$playername receives the ball in a dangerous position
CMATCHTEXT_TRAITBOXTOBOX4	<+TRAIT>Great support play from $playername|He has the ball	<+TRAIT>Great support play from $playername|He has the ball
CMATCHTEXT_TRAITBOXTOBOX5	<+TRAIT>$playername wins the ball in the attacking third	<+TRAIT>$playername wins the ball in the attacking third
CMATCHTEXT_TRAITDIVE_2NDYELLOW1	$playername has to walk!|That's his second bookable offence!	$playername has to walk!|That's his second bookable offence!
CMATCHTEXT_TRAITDIVE_2NDYELLOW2	That's a second yellow card for $playername!|He has to go!	That's a second yellow card for $playername!|He has to go!
CMATCHTEXT_TRAITDIVE_2NDYELLOW3	That means he has to go!|$playername gets his second yellow of the match!	That means he has to go!|$playername gets his second yellow of the match!
CMATCHTEXT_TRAITDIVE_NOPEN1	The ref waves it away!|No penalty!	The ref waves it away!|No penalty!
CMATCHTEXT_TRAITDIVE_NOPEN2	But the ref says play on!	But the ref says play on!
CMATCHTEXT_TRAITDIVE_NOPEN3	But the referee says no penalty!	But the referee says no penalty!
CMATCHTEXT_TRAITDIVE_PEN1	<!whistledelayed>The ref has given it!|Penalty!	<!whistledelayed>The ref has given it!|Penalty!
CMATCHTEXT_TRAITDIVE_PEN2	<!whistledelayed>It's a penalty!	<!whistledelayed>It's a penalty!
CMATCHTEXT_TRAITDIVE_PEN3	<!whistledelayed>The ref points to the spot!|Penalty!	<!whistledelayed>The ref points to the spot!|Penalty!
CMATCHTEXT_TRAITDIVE_PEN4	<!whistledelayed>It's a penalty!|There was very little contact	<!whistledelayed>It's a penalty!|There was very little contact
CMATCHTEXT_TRAITDIVE_PEN5	<!whistledelayed>It's a penalty!|The defender is saying it was a dive	<!whistledelayed>It's a penalty!|The defender is saying it was a dive
CMATCHTEXT_TRAITDIVE_YELLOW1	<!whistledelayed>The ref blows his whistle|Yellow card for $playername for diving!	<!whistledelayed>The ref blows his whistle|Yellow card for $playername for diving!
CMATCHTEXT_TRAITDIVE_YELLOW2	$playername was rightly booked for diving.	$playername was rightly booked for diving.
CMATCHTEXT_TRAITDIVE_YELLOW3	<!whistledelayed>The ref calls $playername over|He's given him a yellow card for diving!	<!whistledelayed>The ref calls $playername over|He's given him a yellow card for diving!
CMATCHTEXT_TRAITDIVE_YELLOW4	The ref spotted a clear dive from $playername and booked him.	The ref spotted a clear dive from $playername and booked him.
CMATCHTEXT_TRAITDIVE_YELLOW5	<!whistledelayed>$playername could be in trouble here...|It's a yellow card for diving!	<!whistledelayed>$playername could be in trouble here...|It's a yellow card for diving!
CMATCHTEXT_TRAITDIVE1	<+TRAIT>$playername goes down in the penalty area!	<+TRAIT>$playername goes down in the penalty area!
CMATCHTEXT_TRAITDIVE2	<+TRAIT>$playername goes over in the penalty box!	<+TRAIT>$playername goes over in the penalty box!
CMATCHTEXT_TRAITDIVE3	<+TRAIT>$playername falls just inside the box!	<+TRAIT>$playername falls just inside the box!
CMATCHTEXT_TRAITDIVE4	<+TRAIT>It looks like $playername was tripped in the box!	<+TRAIT>It looks like $playername was tripped in the box!
CMATCHTEXT_TRAITDIVE5	<+TRAIT>That looked like a push on $playername in the box!	<+TRAIT>That looked like a push on $playername in the box!
CMATCHTEXT_TRAITFOXINTHEBOX1	<+TRAIT>$playername has a chance inside the box	<+TRAIT>$playername has a chance inside the box
CMATCHTEXT_TRAITFOXINTHEBOX2	<+TRAIT>The ball falls to $playername inside the box	<+TRAIT>The ball falls to $playername inside the box
CMATCHTEXT_TRAITFOXINTHEBOX3	<+TRAIT>$playername makes a run into the area|The ball falls to him...	<+TRAIT>$playername makes a run into the area|The ball falls to him...
CMATCHTEXT_TRAITFOXINTHEBOX4	<+TRAIT>$playername receives the ball in the area...	<+TRAIT>$playername receives the ball in the area...
CMATCHTEXT_TRAITFOXINTHEBOX5	<+TRAIT>The ball is whipped into the box|It's falls to $playername	<+TRAIT>The ball is whipped into the box|It's falls to $playername
CMATCHTEXT_TRAITPLAYMAKER1	<+TRAIT>$playername makes an intelligent pass...	<+TRAIT>$playername makes an intelligent pass...
CMATCHTEXT_TRAITPLAYMAKER10	<+TRAIT>$playername puts his foot on the ball|Now he plays it forward...	<+TRAIT>$playername puts his foot on the ball|Now he plays it forward...
CMATCHTEXT_TRAITPLAYMAKER2	<+TRAIT>An incisive pass from $playername...	<+TRAIT>An incisive pass from $playername...
CMATCHTEXT_TRAITPLAYMAKER3	<+TRAIT>$playername sets up the attack...	<+TRAIT>$playername sets up the attack...
CMATCHTEXT_TRAITPLAYMAKER4	<+TRAIT>$playername feeds the ball forward...	<+TRAIT>$playername feeds the ball forward...
CMATCHTEXT_TRAITPLAYMAKER5	<+TRAIT>That's a deft flick from $playername...	<+TRAIT>That's a deft flick from $playername...
CMATCHTEXT_TRAITPLAYMAKER6	<+TRAIT>$playername provides the forward pass...	<+TRAIT>$playername provides the forward pass...
CMATCHTEXT_TRAITPLAYMAKER7	<+TRAIT>$playername finds his teammate...	<+TRAIT>$playername finds his teammate...
CMATCHTEXT_TRAITPLAYMAKER8	<+TRAIT>$playername has his head up|He makes the pass...	<+TRAIT>$playername has his head up|He makes the pass...
CMATCHTEXT_TRAITPLAYMAKER9	<+TRAIT>$playername scans the field|He finds his man...	<+TRAIT>$playername scans the field|He finds his man...
CMATCHTEXT_TRAITSUPERSUB1	<+TRAIT>The ball falls to the substitute $playername...	<+TRAIT>The ball falls to the substitute $playername...
CMATCHTEXT_TRAITSUPERSUB2	<+TRAIT>$playername has made an impact since coming on|He has the ball...	<+TRAIT>$playername has made an impact since coming on|He has the ball...
CMATCHTEXT_TRAITSUPERSUB3	<+TRAIT>$playername has been involved since coming on|He pushes forward...	<+TRAIT>$playername has been involved since coming on|He pushes forward...
CMATCHTEXT_TRAITSUPERSUB4	<+TRAIT>$playername picks up the ball|The substitute breaks forward...	<+TRAIT>$playername picks up the ball|The substitute breaks forward...
CMATCHTEXT_TRAITSUPERSUB5	<+TRAIT>$playername has been a threat since coming on|Here he is breaking forward...	<+TRAIT>$playername has been a threat since coming on|Here he is breaking forward...
CMATCHTEXT_TRAITSUPERSUB6	<+TRAIT>$playername has fresh legs and is in the mood|He is trying to make a difference...	<+TRAIT>$playername has fresh legs and is in the mood|He is trying to make a difference...
CMATCHTEXT_TRAITTARGETMAN1	<+TRAIT>$playername holds the ball up well...	<+TRAIT>$playername holds the ball up well...
CMATCHTEXT_TRAITTARGETMAN2	<+TRAIT>$playername holds onto the ball and waits for support...	<+TRAIT>$playername holds onto the ball and waits for support...
CMATCHTEXT_TRAITTARGETMAN3	<+TRAIT>$playername provides an outlet for $attackingteamname	<+TRAIT>$playername provides an outlet for $attackingteamname
CMATCHTEXT_TRAITTARGETMAN4	<+TRAIT>$attackingteamname get the ball up to $playername|He holds it up well...	<+TRAIT>$attackingteamname get the ball up to $playername|He holds it up well...
CMATCHTEXT_TRAITTARGETMAN5	<+TRAIT>Target man $playername receives the ball...	<+TRAIT>Target man $playername receives the ball...
CMATCHTEXT_WISEPLAYER1	<assistant><EXP><col_a>$playername makes a good tackle|He showed his experience there|$attackingteamname are on the attack	<assistant><EXP><col_a>$playername makes a good tackle|He showed his experience there|$attackingteamname are on the attack
CMATCHTEXT_WISEPLAYER10	<assistant><EXP><col_a>$playername tries to stamp some authority on the game|He gets $attackingteamname moving forward...	<assistant><EXP><col_a>$playername tries to stamp some authority on the game|He gets $attackingteamname moving forward...
CMATCHTEXT_WISEPLAYER2	<assistant><EXP><col_a>$playername wins the ball back|That was clever from the ageing player|$attackingteamname break forward	<assistant><EXP><col_a>$playername wins the ball back|That was clever from the ageing player|$attackingteamname break forward
CMATCHTEXT_WISEPLAYER3	<assistant><EXP><col_a>$playername steals the ball from the dribbler|He was too wise to fall for that!	<assistant><EXP><col_a>$playername steals the ball from the dribbler|He was too wise to fall for that!
CMATCHTEXT_WISEPLAYER4	<assistant><EXP><col_a>$playername intercepts the pass|He showed great awareness there...	<assistant><EXP><col_a>$playername intercepts the pass|He showed great awareness there...
